timestamp,open,high,low,close
2024-12-12,3.5746,3.5904,3.5572,3.5756
2024-12-13,3.5741,3.6081,3.5674,3.5961
2024-12-16,3.5951,3.61936,3.5741,3.5805
2024-12-17,3.5819,3.6078,3.571,3.5928
2024-12-18,3.5915,3.6172,3.5697,3.5963
2024-12-19,3.5944,3.6517,3.5783,3.6445
2024-12-20,3.6444,3.6759,3.6225,3.6433
2024-12-23,3.6446,3.6714,3.6238,3.6624
2024-12-24,3.6543,3.6769,3.6316,3.6423
2024-12-25,3.6423,3.6504,3.6288,3.6333
2024-12-26,3.6395,3.6701,3.6319,3.6554
2024-12-27,3.6553,3.6906,3.6473,3.6814
2024-12-30,3.6814,3.6822,3.6334,3.6442
2024-12-31,3.6491,3.6571,3.6272,3.6354
2025-01-01,3.6298,3.6448,3.6298,3.6384
2025-01-02,3.6372,3.6579,3.6233,3.6468
2025-01-03,3.6419,3.66287,3.6348,3.6432
2025-01-06,3.6468,3.6489,3.6165,3.6285
2025-01-07,3.6199,3.657,3.6037,3.6473
2025-01-08,3.6473,3.6792,3.6324,3.6576
2025-01-09,3.6575,3.6724,3.6408,3.6491
2025-01-10,3.6558,3.6956,3.6448,3.6807
2025-01-13,3.6824,3.6824,3.6237,3.6414
2025-01-14,3.6386,3.6434,3.6114,3.6255
2025-01-15,3.6252,3.6455,3.5969,3.6068
2025-01-16,3.6187,3.6292,3.597,3.6129
2025-01-17,3.613,3.6229,3.55,3.5614
2025-01-20,3.5614,3.58525,3.5516,3.5645
2025-01-21,3.5657,3.5878,3.5413,3.5518
2025-01-22,3.5526,3.5596,3.5202,3.5341
2025-01-23,3.5321,3.5831,3.522,3.5758
2025-01-24,3.5756,3.5948,3.5539,3.5731
2025-01-27,3.5725,3.6334,3.5637,3.6176
2025-01-28,3.6127,3.6267,3.5916,3.6177
2025-01-29,3.621,3.6242,3.584,3.6049
2025-01-30,3.6004,3.6084,3.5633,3.5781
2025-01-31,3.5785,3.5863,3.5545,3.573
2025-02-03,3.5739,3.6177,3.5643,3.5765
2025-02-04,3.5752,3.5852,3.5504,3.5623
2025-02-05,3.5577,3.5675,3.5329,3.5342
2025-02-06,3.5404,3.56362,3.5273,3.5492
2025-02-07,3.5488,3.5664,3.5361,3.5614
2025-02-10,3.5546,3.5961,3.5464,3.5748
2025-02-11,3.5748,3.5955,3.5572,3.5878
2025-02-12,3.5923,3.6047,3.5701,3.5779
2025-02-13,3.5859,3.5917,3.5498,3.5618
2025-02-14,3.5548,3.5686,3.533,3.5383
2025-02-17,3.5401,3.5611,3.5369,3.5559
2025-02-18,3.5572,3.5698,3.5395,3.5493
2025-02-19,3.5492,3.5519,3.5252,3.5409
2025-02-20,3.5334,3.5522,3.5286,3.5432
2025-02-21,3.545,3.5738,3.5354,3.5651
2025-02-24,3.5636,3.5807,3.5528,3.5728
2025-02-25,3.5729,3.5941,3.5572,3.58
2025-02-26,3.5795,3.5874,3.5413,3.5549
2025-02-27,3.5545,3.5837,3.5368,3.5769
2025-02-28,3.5759,3.61793,3.5653,3.5939
2025-03-03,3.5968,3.60876,3.5781,3.5986
2025-03-04,3.5984,3.6459,3.5873,3.629
2025-03-05,3.6294,3.6329,3.5927,3.6043
2025-03-06,3.6074,3.6236,3.59366,3.611
2025-03-07,3.6084,3.6353,3.5978,3.618
2025-03-10,3.6283,3.6495,3.6104,3.6378
2025-03-11,3.6381,3.65718,3.6255,3.6456
2025-03-12,3.6466,3.66024,3.6209,3.6366
2025-03-13,3.6378,3.6704,3.6287,3.6582
2025-03-14,3.6589,3.6858,3.6333,3.6451
2025-03-17,3.6443,3.6699,3.6288,3.6348
2025-03-18,3.637,3.6703,3.6326,3.6628
2025-03-19,3.6644,3.67332,3.64,3.6547
2025-03-20,3.6562,3.6831,3.6393,3.6764
2025-03-21,3.6728,3.7173,3.6608,3.7145
2025-03-24,3.7192,3.7273,3.6644,3.6724
2025-03-25,3.6758,3.6844,3.6498,3.6602
2025-03-26,3.6604,3.6979,3.6436,3.6878
2025-03-27,3.6849,3.7065,3.6575,3.6723
2025-03-28,3.6673,3.69602,3.6588,3.6883
2025-03-31,3.689,3.73681,3.6804,3.719
2025-04-01,3.7203,3.722,3.6822,3.6877
2025-04-02,3.6884,3.7106,3.6763,3.7093
2025-04-03,3.7071,3.7332,3.6758,3.7009
2025-04-04,3.701,3.7478,3.6836,3.7307
2025-04-07,3.7368,3.8038,3.7212,3.7777
2025-04-08,3.7736,3.7954,3.7322,3.7758
2025-04-09,3.7758,3.8361,3.7402,3.7425
2025-04-10,3.7425,3.7823,3.7195,3.7442
